reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
8355bc54-ba6c-4aed-b8b0-d54382377a33,Kun Harjiyanto,https://play-lh.googleusercontent.com/a-/ALV-UjWywlyn9kGan-JAMC0VvKWIq-rWk5bqlRXRpIyTmo-9TggwNw57,Never successfully checked in via the app 🤦🏻,1,0,80.0.2,2025-07-14 14:37:49,,,80.0.2
0ed0a91d-4d28-4afc-8e5b-b2acfeb59e1f,MOHAMAD YEO,https://play-lh.googleusercontent.com/a-/ALV-UjXXtXykcGisEKJL2cTWo51D9SlLVEv3jEY21BqbjuDz_DnzhS5XNg,VERI POWERNYA.,5,0,80.0.2,2025-06-18 04:10:58,,,80.0.2
b53d54db-8550-4864-9479-d3a111a8015e,kevin zaprilan,https://play-lh.googleusercontent.com/a/ACg8ocLXOVJaWd1HtFHdSzzMbwo5eYMssvpZOJwgicGauGXYvKbizA=mo,"aplikasi terburuk dari semua maskapai yang ada.. yang register tidak bisa, mau check in pun error. jangan di-download.",1,0,80.0.2,2025-05-03 11:44:18,,,80.0.2
30fbb445-5f76-4a2b-ae1e-9de3cb3d27b3,Dayvina Anaya,https://play-lh.googleusercontent.com/a/ACg8ocIPHbi9YM7KmOS0VKtWdryIiWEcR9nbiw4qo4LiPOEbwG4v_du1=mo,gooodd,5,0,80.0.2,2024-12-23 03:43:03,,,80.0.2
a8c494cd-ff78-4895-b1e7-ab1848ff76d6,Human Frontline,https://play-lh.googleusercontent.com/a-/ALV-UjXaInjEVdIWM7e0aLoQUvbQUWo1zzwjCB2CuFD8a_Edtd8EzSY,Penipu,1,0,80.0.2,2024-08-05 15:37:37,,,80.0.2
995fd6ef-0643-4748-bf25-029da4990832,Hatsun3 Miku,https://play-lh.googleusercontent.com/a-/ALV-UjU5V3Gtcp7ZoboMhUMmNa0UoGWhVatCfuVrYsvzs_W0FLWZUIKu,"Failed boarding print, send to email not working, rejected when check in offline on airport LOL",1,0,80.0.2,2024-07-27 20:37:04,,,80.0.2
5b8f184b-6faa-4a7f-975f-26b19b6e10b9,ricky jo,https://play-lh.googleusercontent.com/a-/ALV-UjWrhTTGf9-cIa9RGX7z5ikuAfU_OuuOCpoMAnfXusndGlODIQaG-A,"The app is not working at all, really bad services.",1,0,80.0.2,2024-07-22 10:55:49,,,80.0.2
38236c86-e9ae-4bc0-948d-215b311cea0c,Riska Yudrika Khoiriah,https://play-lh.googleusercontent.com/a-/ALV-UjVu3bNqnQGTYtz-WZmwxPQoKsQ4RnSfAY2oVW4ozoOGp4HS980,"BAD APPS! i cant register an account, even all the instructions have been followed.",1,0,80.0.2,2024-07-12 00:33:39,,,80.0.2
271b25e4-a9c2-48b8-a2af-489cc4248a68,Syahrul Rizal,https://play-lh.googleusercontent.com/a/ACg8ocJg6NXCBBiEzXLwlU0bCXGqJ25memnAtn6zz_5WgFMTTg3QWQ=mo,I cant use Online check in menu,1,0,80.0.2,2024-07-04 06:13:02,,,80.0.2
f3cd10d1-cfa4-41eb-a1b1-ad099510509a,Paula Kristi,https://play-lh.googleusercontent.com/a/ACg8ocJtJA6Vk-l8y-0bHKxEJz25josujU66x72-ScvJjQQLqhgnnw=mo,Cannot check in,1,0,60.3.0,2024-04-09 15:27:14,,,60.3.0
